# Constructed from biom file
#OTU ID	SRR22990781	SRR22990782	SRR22990783	SRR22990784	SRR22990785	SRR22990786	SRR22990787	SRR22990788	SRR22990789	SRR22990790	SRR22990791	SRR22990792	SRR22990793	SRR22990794	SRR22990795	SRR22990796	SRR22990797	SRR22990798	SRR22990799	SRR22990800	SRR22990801	SRR22990802	SRR22990803	SRR22990804	SRR22990805	SRR22990806
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group	0.0	0.0	0.0	0.0	0.0	218.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	21.0	0.0	0.0	282.0	23.0	23.0	27.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	332.0	120.0	55.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	30.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus	0.0	329.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group	20.0	21.0	0.0	21.0	311.0	51.0	58.0	0.0	76.0	0.0	0.0	56.0	0.0	390.0	139.0	64.0	170.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	249.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	134.0	0.0	0.0	0.0	0.0	0.0	78.0	1.0	52.0	0.0	0.0	0.0	13.0	522.0	0.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium	0.0	0.0	0.0	288.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	0.0	0.0	0.0	57.0	0.0	129.0	112.0	0.0	162.0	0.0	0.0	141.0	10.0	129.0	66.0	0.0	116.0	0.0	44.0	18.0	0.0	0.0	0.0	0.0	21.0	102.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella	0.0	283.0	97.0	0.0	3.0	0.0	0.0	0.0	28.0	140.0	0.0	5.0	130.0	35.0	52.0	0.0	0.0	28.0	19.0	72.0	0.0	0.0	36.0	0.0	3.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	38.0	103.0	0.0	150.0	27.0	116.0	79.0	5.0	130.0	0.0	11.0	143.0	36.0	49.0	205.0	102.0	158.0	0.0	33.0	81.0	0.0	6.0	43.0	8.0	0.0	144.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	20.0	0.0	0.0	0.0	87.0	0.0	14.0	85.0	0.0	0.0	0.0	0.0	0.0	127.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	0.0	0.0	153.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group	0.0	0.0	0.0	209.0	0.0	0.0	0.0	59.0	59.0	0.0	0.0	75.0	0.0	0.0	254.0	0.0	340.0	0.0	45.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	0.0	0.0	0.0	0.0	0.0	157.0	85.0	0.0	293.0	0.0	0.0	0.0	0.0	0.0	150.0	0.0	390.0	0.0	51.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium]_innocuum_group	0.0	178.0	76.0	0.0	141.0	2.0	0.0	0.0	8.0	0.0	0.0	0.0	24.0	52.0	0.0	161.0	0.0	74.0	31.0	34.0	29.0	0.0	0.0	19.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenisphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	336.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella	0.0	252.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	3.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	252.0
