# Constructed from biom file
#OTU ID	SRR22990781	SRR22990782	SRR22990783	SRR22990784	SRR22990785	SRR22990786	SRR22990787	SRR22990788	SRR22990789	SRR22990790	SRR22990791	SRR22990792	SRR22990793	SRR22990794	SRR22990795	SRR22990796	SRR22990797	SRR22990798	SRR22990799	SRR22990800	SRR22990801	SRR22990802	SRR22990803	SRR22990804	SRR22990805	SRR22990806
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	1040.0	0.0	0.0	0.0	0.0	17.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;__	0.0	0.0	15.0	235.0	2.0	204.0	191.0	73.0	94.0	0.0	83.0	116.0	147.0	503.0	283.0	164.0	183.0	0.0	65.0	101.0	195.0	0.0	162.0	85.0	42.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;__	117.0	0.0	0.0	0.0	0.0	0.0	242.0	0.0	0.0	0.0	0.0	0.0	0.0	2674.0	0.0	0.0	190.0	0.0	0.0	0.0	136.0	0.0	186.0	0.0	0.0	322.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;__	28.0	0.0	0.0	0.0	675.0	97.0	271.0	153.0	285.0	10.0	0.0	0.0	0.0	124.0	360.0	0.0	93.0	0.0	0.0	2.0	595.0	0.0	62.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352;s__uncultured_bacterium	51.0	0.0	0.0	0.0	0.0	0.0	0.0	209.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	366.0	0.0	634.0	0.0	0.0	0.0	89.0	0.0	169.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_kribbi	54.0	39.0	0.0	0.0	0.0	0.0	68.0	41.0	0.0	0.0	0.0	0.0	0.0	808.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Eubacterium_ramulus	0.0	386.0	0.0	239.0	0.0	0.0	109.0	0.0	72.0	0.0	0.0	116.0	0.0	0.0	152.0	0.0	178.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	105.0	117.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;__	0.0	291.0	56.0	130.0	0.0	0.0	136.0	0.0	38.0	0.0	0.0	32.0	0.0	393.0	172.0	91.0	173.0	0.0	101.0	0.0	768.0	69.0	34.0	106.0	28.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56;s__uncultured_bacterium	0.0	183.0	0.0	126.0	0.0	152.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	284.0	0.0	18.0	184.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group;__	0.0	0.0	0.0	66.0	0.0	49.0	0.0	96.0	114.0	0.0	0.0	20.0	0.0	443.0	230.0	0.0	0.0	0.0	123.0	54.0	0.0	0.0	47.0	0.0	10.0	61.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__	0.0	138.0	25.0	150.0	6.0	368.0	0.0	0.0	83.0	46.0	81.0	0.0	163.0	43.0	137.0	716.0	145.0	56.0	8.0	0.0	1374.0	30.0	0.0	141.0	5.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;__	0.0	924.0	43.0	0.0	0.0	0.0	4.0	20.0	0.0	34.0	0.0	0.0	18.0	0.0	0.0	368.0	0.0	0.0	29.0	93.0	647.0	4.0	0.0	115.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__uncultured_bacterium	0.0	0.0	0.0	102.0	681.0	48.0	52.0	390.0	5.0	0.0	0.0	56.0	0.0	609.0	90.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	293.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__	1113.0	0.0	184.0	0.0	0.0	48.0	4.0	0.0	0.0	20.0	0.0	0.0	0.0	17.0	0.0	299.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	235.0	8.0	27.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_massiliensis	0.0	0.0	0.0	0.0	53.0	46.0	58.0	164.0	0.0	0.0	0.0	0.0	0.0	1230.0	0.0	0.0	158.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group;s__uncultured_Lachnospiraceae	0.0	143.0	0.0	112.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	87.0	0.0	106.0	107.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	26.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_salivarius	224.0	73.0	40.0	168.0	0.0	68.0	0.0	0.0	339.0	0.0	0.0	16.0	191.0	175.0	0.0	456.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0	5.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;__	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	806.0	0.0	0.0	0.0	0.0	11.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured;__	0.0	0.0	0.0	91.0	43.0	65.0	0.0	63.0	213.0	0.0	0.0	95.0	0.0	388.0	131.0	0.0	233.0	0.0	138.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_merdae	223.0	0.0	0.0	139.0	83.0	23.0	67.0	54.0	0.0	0.0	0.0	0.0	0.0	786.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group;__	0.0	0.0	0.0	0.0	107.0	239.0	197.0	0.0	195.0	0.0	0.0	185.0	0.0	0.0	413.0	0.0	246.0	0.0	86.0	0.0	0.0	0.0	121.0	0.0	0.0	92.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.0	236.0	0.0	157.0	0.0	67.0	0.0	201.0	94.0	0.0	0.0	0.0	0.0	307.0	49.0	0.0	56.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Terrisporobacter;s__uncultured_bacterium	0.0	0.0	0.0	0.0	274.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group;s__uncultured_bacterium	0.0	0.0	0.0	33.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	159.0	0.0	100.0	184.0	94.0	204.0	0.0	106.0	0.0	349.0	42.0	0.0	0.0	12.0	6.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;__	116.0	0.0	0.0	0.0	499.0	109.0	139.0	117.0	209.0	0.0	0.0	0.0	0.0	129.0	68.0	0.0	257.0	0.0	175.0	64.0	0.0	0.0	82.0	0.0	0.0	150.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__unidentified	0.0	0.0	0.0	115.0	277.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus_bicirculans	102.0	0.0	0.0	15.0	0.0	0.0	0.0	121.0	63.0	0.0	0.0	33.0	46.0	0.0	331.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	0.0	56.0	8.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group;s__gut_metagenome	118.0	0.0	0.0	275.0	0.0	0.0	0.0	172.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.0	137.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__uncultured_bacterium	0.0	255.0	0.0	0.0	0.0	0.0	158.0	0.0	12.0	0.0	0.0	0.0	0.0	99.0	65.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella;s__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	66.0	0.0	114.0	28.0	0.0	0.0	0.0	0.0	0.0	163.0	0.0	0.0	61.0	0.0	160.0	88.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group;s__uncultured_organism	0.0	0.0	0.0	101.0	0.0	0.0	173.0	0.0	89.0	0.0	0.0	76.0	38.0	0.0	143.0	0.0	167.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0
Unassigned;__;__;__;__;__;__	0.0	0.0	0.0	0.0	475.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	321.0	0.0	131.0	0.0	225.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	54.0	0.0	0.0	0.0	32.0	187.0	0.0	0.0	0.0	0.0	38.0	216.0	37.0	0.0	82.0	0.0	4.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group;__	83.0	0.0	0.0	0.0	0.0	52.0	132.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	72.0	44.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;__	0.0	0.0	0.0	143.0	91.0	94.0	23.0	64.0	73.0	0.0	0.0	108.0	46.0	374.0	184.0	0.0	52.0	0.0	277.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;__	40.0	0.0	13.0	0.0	18.0	10.0	0.0	102.0	31.0	9.0	0.0	0.0	16.0	128.0	0.0	253.0	44.0	0.0	99.0	308.0	0.0	0.0	36.0	73.0	16.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;__	0.0	0.0	0.0	92.0	389.0	305.0	26.0	141.0	0.0	0.0	0.0	82.0	0.0	14.0	148.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0	162.0	0.0	0.0	489.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819;s__uncultured_organism	0.0	97.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	37.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus_callidus	95.0	0.0	0.0	0.0	0.0	2.0	0.0	128.0	151.0	0.0	0.0	0.0	0.0	0.0	99.0	176.0	0.0	0.0	182.0	0.0	0.0	0.0	161.0	0.0	50.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	510.0	0.0	0.0	0.0
